Datetime,Open,Close,High,Low,value,Volume,Datetime,extr,Разметка,neural_trends
2008-02-14,87.0,85.46,87.83,85.0,8415025050.92,96961766.0,2008-02-14,max,sell,0.0
2008-02-15,85.0,83.4,85.2,82.87,5119309481.71,61013087.0,2008-02-15,,sell,0.0
2008-02-18,83.95,84.84,85.5,83.51,3374986373.03,39852006.0,2008-02-18,,sell,0.0
2008-02-19,85.4,85.0,85.67,83.62,6716704096.65,79491901.0,2008-02-19,,sell,0.0
2008-02-20,83.7,83.09,84.0,82.2,5114654794.01,61640448.0,2008-02-20,,sell,0.0
2008-02-21,84.33,83.75,85.1,83.62,6512411047.96,77205207.0,2008-02-21,,sell,0.0
2008-02-22,82.97,82.99,83.5,81.85,5153459383.01,62320469.0,2008-02-22,,sell,0.0
2008-02-25,82.97,82.94,83.5,81.85,5153459383.01,0.0,2008-02-25,,sell,0.0
2008-02-26,84.11,85.1,85.3,83.79,6885522171.77,81363764.0,2008-02-26,min,buy,1.0
2008-02-27,85.7,83.78,86.4,83.4,5155818220.4,60785001.0,2008-02-27,,buy,1.0
2008-02-28,83.55,82.95,83.88,82.67,2956640997.79,35577473.0,2008-02-28,,buy,1.0
2008-02-29,82.4,80.2,83.16,79.62,6346836223.57,78340523.0,2008-02-29,,buy,1.0
2008-03-03,78.2,78.7,79.15,76.2,6881194354.02,88689891.0,2008-03-03,,buy,1.0
2008-03-04,79.0,76.5,79.6,75.5,6566707162.11,84997432.0,2008-03-04,,buy,1.0
2008-03-05,77.1,78.32,78.48,75.21,7435671844.24,96752185.0,2008-03-05,,buy,1.0
2008-03-06,79.39,77.1,79.7,76.62,6498852417.34,83344172.0,2008-03-06,,buy,1.0
2008-03-07,75.31,74.86,76.0,74.11,5571580289.65,74155141.0,2008-03-07,,buy,1.0
2008-03-11,75.03,78.6,78.7,73.8,9006790391.54,118123898.0,2008-03-11,,buy,1.0
2008-03-12,79.7,78.5,80.65,78.05,7426320713.31,93441928.0,2008-03-12,,buy,1.0
2008-03-13,77.0,75.9,77.3,75.54,5685690616.74,74414680.0,2008-03-13,,buy,1.0
2008-03-14,76.56,76.77,80.15,76.2,10112664250.35,129787039.0,2008-03-14,,buy,1.0
2008-03-17,74.9,72.81,75.2,71.11,8376135522.46,114770781.0,2008-03-17,,buy,1.0
2008-03-18,73.9,74.58,74.95,71.41,10057165556.72,136860978.0,2008-03-18,,buy,1.0
2008-03-19,76.4,74.5,76.9,74.01,12552593986.89,166466662.0,2008-03-19,,buy,1.0
2008-03-20,72.85,73.75,74.2,72.2,7364736454.18,100512042.0,2008-03-20,,buy,1.0
2008-03-21,74.75,74.46,75.25,74.28,3558043659.59,47616780.0,2008-03-21,,buy,1.0
2008-03-24,74.69,77.68,77.7,73.77,5604964927.81,74242525.0,2008-03-24,max,sell,0.0
2008-03-25,77.98,75.0,78.0,74.12,9920782427.16,130022282.0,2008-03-25,,sell,0.0
2008-03-26,74.75,72.98,75.24,72.64,7300961518.08,99020707.0,2008-03-26,,sell,0.0
2008-03-27,72.7,72.95,74.9,72.23,10162332097.13,137814078.0,2008-03-27,min,buy,1.0
2008-03-28,73.52,73.75,74.4,72.57,6517744026.62,88898909.0,2008-03-28,,buy,1.0
2008-03-31,72.91,73.48,74.85,72.4,6193204434.06,84028898.0,2008-03-31,,buy,1.0
2008-04-01,73.5,75.1,75.31,72.93,9703723492.56,130174567.0,2008-04-01,,buy,1.0
2008-04-02,76.8,78.75,79.39,76.5,18104163845.27,232712602.0,2008-04-02,,buy,1.0
2008-04-03,78.8,76.72,79.67,76.63,10681836805.95,137208467.0,2008-04-03,,buy,1.0
2008-04-04,77.11,77.35,78.2,76.56,7474188391.78,96729814.0,2008-04-04,,buy,1.0
2008-04-07,78.0,79.14,79.62,78.0,5806457632.37,73591568.0,2008-04-07,max,sell,0.0
2008-04-08,78.53,77.5,78.98,77.4,4666826281.82,59709640.0,2008-04-08,,sell,0.0
2008-04-09,77.3,78.55,79.4,76.9,6414860203.58,81967956.0,2008-04-09,,sell,0.0
2008-04-10,78.21,77.3,78.74,77.09,5579894394.25,71848168.0,2008-04-10,,sell,0.0
2008-04-11,78.0,74.4,78.1,74.12,11618526656.72,153312322.0,2008-04-11,,sell,0.0
2008-04-14,73.46,73.96,74.48,72.73,5704404626.28,77627391.0,2008-04-14,,sell,0.0
2008-04-15,74.23,73.65,74.64,73.35,5258620050.54,71251676.0,2008-04-15,,sell,0.0
2008-04-16,74.0,75.0,75.83,73.23,9660541026.05,129437823.0,2008-04-16,,sell,0.0
2008-04-17,75.65,73.59,75.8,73.27,9239279676.9,124473035.0,2008-04-17,min,buy,1.0
2008-04-18,73.74,76.56,76.91,73.46,13084015866.53,173270211.0,2008-04-18,max,sell,0.0
2008-04-21,77.0,75.13,77.1,74.8,6802831905.9,89743070.0,2008-04-21,,sell,0.0
